"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-D5-6538-01A-11R-1723-07",24.411,72.431,4.5176,52.8224,61.5504
"TCGA-A6-2671-01A-01R-1410-07",9.2988,94.9658,4.377,85.2536,19.7461
"TCGA-AA-3666-01A-02R-0905-07",42.0251,83.7062,7.1198,84.2459,40.0681
"TCGA-D5-6534-01A-21R-1928-07",33.83,41.6012,7.0803,42.2384,73.1284
"TCGA-CM-6680-01A-11R-1839-07",31.8748,49.3584,7.9319,129.1064,41.1443
"TCGA-AA-3494-01A-01R-1410-07",25.5214,65.0856,6.6969,79.8087,38.3497
"TCGA-AA-3527-01A-01R-0821-07",3.7786,31.9983,11.2041,208.0072,3.2009
"TCGA-D5-6536-01A-11R-1723-07",11.0941,49.0422,6.4537,80.735,7.1577
"TCGA-QG-A5YV-01A-11R-A28H-07",24.3146,67.2157,13.6285,177.0248,20.2469
"TCGA-CM-6164-01A-11R-1653-07",27.7214,68.259,7.6622,49.3319,59.6127
"TCGA-A6-A5ZU-01A-11R-A28H-07",16.4879,46.6771,7.4433,32.1464,14.8486
"TCGA-AZ-6607-01A-11R-1839-07",27.2275,43.3627,7.506,179.7816,51.9669
"TCGA-A6-3809-01A-01R-1022-07",42.4128,66.3127,10.5837,246.9943,20.7423
"TCGA-DM-A282-01A-12R-A16W-07",18.7058,36.5943,9.2813,36.5952,24.9528
"TCGA-QG-A5Z2-01A-11R-A28H-07",36.9601,50.2291,9.7277,98.573,9.4434
"TCGA-AZ-4323-01A-21R-1839-07",27.4299,52.2548,7.6281,54.8672,250.4458
"TCGA-G4-6302-01A-11R-1723-07",28.2894,37.0055,8.0477,96.6266,301.5286
"TCGA-D5-6533-01A-11R-1723-07",26.0668,67.9471,7.1661,69.0851,85.4518
"TCGA-AA-3678-01A-01R-0905-07",25.3161,58.5115,9.3795,78.9442,37.0793
"TCGA-CK-4950-01A-01R-1723-07",18.048,53.2023,7.3622,50.6661,24.3025
"TCGA-DM-A285-01A-11R-A16W-07",24.5669,66.2713,7.7665,124.3817,37.0122
"TCGA-G4-6294-01A-11R-1774-07",25.9643,45.9632,7.1732,41.3139,27.7323
"TCGA-A6-2684-01A-01R-A278-07",41.7824,36.5165,10.1414,47.3076,24.0984
"TCGA-D5-6898-01A-11R-1928-07",41.8278,71.5583,7.6978,47.8073,87.1341
"TCGA-D5-6540-01A-11R-1723-07",29.7777,54.0868,7.3654,347.9068,9.0768
"TCGA-A6-3807-01A-01R-1022-07",28.7323,53.9477,6.9949,81.3943,16.7957
"TCGA-A6-2678-01A-01R-0821-07",55.8197,78.6173,11.0492,35.942,32.4278
"TCGA-3L-AA1B-01A-11R-A37K-07",23.7777,55.1825,9.1512,43.2255,37.945
"TCGA-A6-5664-01A-21R-1839-07",24.0449,40.1631,7.456,225.1526,31.3207
"TCGA-DM-A1DA-01A-11R-A155-07",19.1356,75.4844,8.2768,147.178,7.5845
"TCGA-AA-A024-01A-02R-A00A-07",14.8519,31.8457,4.9779,220.8178,5.6095
"TCGA-AY-A69D-01A-11R-A37K-07",25.4111,67.1508,10.432,38.82,19.9769
"TCGA-AA-3976-01A-01R-1022-07",33.8006,69.9874,11.7417,68.6403,53.7535
"TCGA-D5-6929-01A-31R-1928-07",17.9339,74.1525,7.4607,125.4099,17.9066
"TCGA-AA-A00U-01A-01R-A002-07",19.9234,69.0801,5.8942,129.6884,27.2842
"TCGA-T9-A92H-01A-11R-A37K-07",25.0076,92.1817,5.202,62.0989,19.2165
"TCGA-AA-A01Q-01A-01R-A002-07",15.0775,35.7696,4.4689,33.9275,6.431
"TCGA-AZ-4684-01A-01R-1410-07",18.1899,68.6463,6.2051,163.4795,34.0327
"TCGA-AA-A00Z-01A-01R-A002-07",17.1733,77.0191,8.1242,76.9554,28.1152
"TCGA-CM-6170-01A-11R-1653-07",34.7198,66.9062,5.9184,37.3018,27.0567
"TCGA-AA-A02K-01A-03R-A32Y-07",17.9719,61.0555,4.9859,24.2538,8.9298
"TCGA-AA-3534-01A-01R-0821-07",28.7329,75.4897,13.7426,34.2319,61.6261
"TCGA-CA-5255-01A-11R-1839-07",14.2427,36.9928,13.1294,97.9382,9.4897
"TCGA-AA-3549-01A-02R-0821-07",11.1668,60.3925,3.7185,107.77,12.8744
"TCGA-AA-A004-01A-01R-A00A-07",2.0646,20.987,2.4936,104.4526,8.4414
"TCGA-AA-3875-01A-01R-0905-07",30.7054,51.6627,10.221,55.4396,24.1319
"TCGA-NH-A50T-01A-11R-A28H-07",17.9184,67.5194,13.0102,34.0014,18.388
"TCGA-AA-3821-01A-01R-1022-07",39.3444,49.9494,12.569,173.9362,27.5733
"TCGA-CM-5344-01A-21R-1723-07",17.7611,61.8961,10.4786,34.2227,39.5585
"TCGA-NH-A5IV-01A-42R-A37K-07",24.8753,58.8464,8.9655,36.0797,10.8214
"TCGA-AA-3684-01A-02R-0905-07",6.2773,40.2981,11.2125,177.1545,9.5698
"TCGA-AA-3675-01A-02R-0905-07",29.0927,54.047,8.9078,83.9482,24.4874
"TCGA-AA-3495-01A-01R-1410-07",20.2089,57.8695,6.5225,47.5431,34.3536
"TCGA-AA-3679-01A-02R-0905-07",20.6785,75.8351,7.8091,67.2762,34.147
