"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-D1-A17C-01A-11R-A12I-07",4.7739,29.0597,4.0179,140.1927,25.446
"TCGA-E6-A1LX-01A-11R-A14D-07",11.0966,58.5405,8.7881,93.7055,24.4378
"TCGA-BK-A139-01A-11R-A118-07",40.5543,93.3866,7.2397,269.1182,8.7774
"TCGA-A5-A1OK-01A-11R-A14M-07",27.869,52.7996,7.706,176.4113,46.9205
"TCGA-D1-A16Q-01A-12R-A12I-07",13.1473,32.9527,3.0523,32.1583,29.2715
"TCGA-E6-A1M0-01A-11R-A144-07",16.3173,73.0995,10.3554,580.4041,17.9883
"TCGA-BS-A0TE-01A-11R-A104-07",15.6256,89.1073,15.5012,56.8639,44.8179
"TCGA-BG-A0MQ-01A-11R-A104-07",25.3408,53.1286,7.661,183.4801,127.8327
"TCGA-AJ-A3NG-01A-11R-A22K-07",47.7493,77.372,11.3213,167.2003,83.433
"TCGA-B5-A0K0-01A-11R-A16W-07",26.4039,51.0265,7.6987,19.1242,157.7115
"TCGA-AX-A1CF-01A-11R-A137-07",48.1242,89.8008,14.4139,542.7218,15.8953
"TCGA-A5-A0GJ-01A-11R-A040-07",8.2875,27.7488,1.6097,9.0217,13.8372
"TCGA-BG-A0M3-01A-11R-A104-07",12.4924,31.7808,3.959,47.3408,19.7822
"TCGA-5B-A90C-01A-11R-A37O-07",65.4793,72.5616,8.7579,16.6159,37.2134
"TCGA-AJ-A3IA-01A-11R-A213-07",22.5173,42.7938,3.2217,25.3898,15.7459
"TCGA-EY-A1GR-01A-11R-A13S-07",21.7928,89.8324,9.4246,64.1828,9.4747
"TCGA-BG-A0VT-01A-11R-A10J-07",17.5759,33.8088,4.4282,41.839,122.1295
"TCGA-BG-A0YV-01A-11R-A10J-07",37.5045,64.1288,8.2437,178.3733,38.4131
"TCGA-DF-A2KS-01A-11R-A18M-07",23.6945,71.1755,10.258,165.6935,10.5721
"TCGA-AX-A06F-01A-11R-A00V-07",28.1728,82.6401,6.8716,594.0579,15.1482
"TCGA-A5-A0G9-01A-11R-A040-07",8.9091,44.3758,5.9527,46.9534,14.4653
"TCGA-EY-A1GD-01A-11R-A13S-07",37.4322,72.2487,9.5429,44.0727,51.0662
"TCGA-AP-A05N-01A-11R-A00V-07",21.3431,48.9402,8.0099,100.7585,247.325
"TCGA-A5-A0VO-01A-21R-A109-07",25.2068,55.3799,7.7155,188.1194,71.8555
"TCGA-AX-A3FV-01A-11R-A22K-07",15.0524,70.9226,18.6899,37.3386,24.9315
"TCGA-AJ-A8CT-01A-11R-A37O-07",22.9702,22.9532,4.8077,47.1152,45.4204
"TCGA-AX-A2HC-01A-11R-A17B-07",39.0379,121.2625,13.1891,42.841,27.6059
"TCGA-D1-A1NX-01A-11R-A16F-07",25.8998,44.0359,6.8763,70.5888,24.6573
"TCGA-AX-A1CA-01A-12R-A137-07",12.5904,39.787,3.042,9.208,8.9978
"TCGA-DI-A2QT-01A-12R-A19W-07",17.0346,43.1594,7.0222,32.1816,8.1197
"TCGA-B5-A11R-01A-11R-A118-07",34.0932,60.0404,8.5895,91.3568,30.4334
"TCGA-A5-A3LP-01A-11R-A22K-07",21.8728,49.4465,4.0315,85.9986,14.9887
"TCGA-EO-A22Y-01A-11R-A180-07",26.6452,55.118,6.7947,409.8701,57.0863
"TCGA-D1-A16I-01A-11R-A12I-07",7.3656,52.5561,5.7625,75.8161,3.212
"TCGA-EY-A1GW-01A-22R-A13S-07",9.5097,10.9318,4.4687,47.627,13.3624
"TCGA-AX-A060-01A-11R-A00V-07",9.3373,44.4925,9.8185,198.7325,5.166
"TCGA-A5-A0R8-01A-11R-A104-07",17.1679,29.911,4.9251,43.5989,28.9563
"TCGA-BK-A0CC-01A-21R-A277-07",41.6953,41.3844,7.87,13.2166,49.4093
"TCGA-BG-A18B-01A-11R-A12I-07",24.4707,49.8698,6.9004,141.6766,8.0927
"TCGA-B5-A1MY-01A-11R-A144-07",20.8529,56.5147,6.8859,630.9291,28.4945
"TCGA-AX-A05U-01A-11R-A00V-07",32.5805,69.8931,8.4352,525.1018,27.7858
"TCGA-EO-A3AV-01A-12R-A19W-07",22.2308,42.4799,10.877,317.135,30.7839
"TCGA-B5-A0K7-01A-11R-A104-07",22.9938,61.6156,6.8151,52.2125,16.3969
