,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-G4-6294-01A-11R-1774-07,25.9643,45.9632,7.1732,41.3139,27.7323,0.08539282
TCGA-D5-6898-01A-11R-1928-07,41.8278,71.5583,7.6978,47.8073,87.1341,0.24423841
TCGA-D5-6540-01A-11R-1723-07,29.7777,54.0868,7.3654,347.9068,9.0768,0.20524951
TCGA-3L-AA1B-01A-11R-A37K-07,23.7777,55.1825,9.1512,43.2255,37.945,0.15327271
TCGA-A6-5664-01A-21R-1839-07,24.0449,40.1631,7.456,225.1526,31.3207,0.56561817
TCGA-DM-A1DA-01A-11R-A155-07,19.1356,75.4844,8.2768,147.178,7.5845,0.07444539
TCGA-AY-A69D-01A-11R-A37K-07,25.4111,67.1508,10.432,38.82,19.9769,0.07475772
TCGA-D5-6929-01A-31R-1928-07,17.9339,74.1525,7.4607,125.4099,17.9066,0.27492839
TCGA-T9-A92H-01A-11R-A37K-07,25.0076,92.1817,5.202,62.0989,19.2165,0.07722166
TCGA-AZ-4684-01A-01R-1410-07,18.1899,68.6463,6.2051,163.4795,34.0327,0.28088118
TCGA-CM-6170-01A-11R-1653-07,34.7198,66.9062,5.9184,37.3018,27.0567,0.09658878
TCGA-AA-A02K-01A-03R-A32Y-07,17.9719,61.0555,4.9859,24.2538,8.9298,0.13770509
TCGA-CA-5255-01A-11R-1839-07,14.2427,36.9928,13.1294,97.9382,9.4897,0.03088581
TCGA-NH-A50T-01A-11R-A28H-07,17.9184,67.5194,13.0102,34.0014,18.388,0.13778999
TCGA-CM-5344-01A-21R-1723-07,17.7611,61.8961,10.4786,34.2227,39.5585,0.35793957
TCGA-NH-A5IV-01A-42R-A37K-07,24.8753,58.8464,8.9655,36.0797,10.8214,0.19102187
TCGA-AA-3675-01A-02R-0905-07,29.0927,54.047,8.9078,83.9482,24.4874,0.08889704
TCGA-AA-3495-01A-01R-1410-07,20.2089,57.8695,6.5225,47.5431,34.3536,0.13846408
TCGA-F4-6855-01A-11R-1928-07,23.6714,56.4692,6.681,55.1867,33.8043,0.38760637
TCGA-G4-6315-01A-11R-1723-07,23.8746,77.6319,9.2032,82.3812,44.343,0.4392387
TCGA-A6-A567-01A-31R-A28H-07,36.239,59.2593,6.5712,14.6822,46.7,0.15206409
TCGA-A6-6650-01A-11R-1774-07,33.9607,61.9979,7.6486,22.3761,62.3948,0.22324132
TCGA-CA-5797-01A-01R-1653-07,38.5121,62.776,11.8208,43.644,46.009,0.37681885
TCGA-A6-6780-01A-11R-1839-07,21.8752,61.4698,8.4855,115.7176,3.6431,0.15414505
TCGA-CA-6717-01A-11R-1839-07,30.9852,62.296,11.1667,71.6561,76.9322,0.53355188
TCGA-AD-6901-01A-11R-1928-07,23.803,61.9736,5.5848,68.2657,18.3003,0.28162825
TCGA-AZ-4315-01A-01R-1410-07,23.2447,79.8542,13.4445,230.9049,15.0575,0.09834303
TCGA-4T-AA8H-01A-11R-A41B-07,18.9681,32.0881,5.7128,31.7037,6.3786,0.04031617
TCGA-AD-6548-01A-11R-1839-07,28.8811,58.0829,8.8594,156.6048,28.6739,0.22381718
TCGA-AA-3685-01A-02R-A32Z-07,25.0159,77.3395,9.23,46.673,27.8673,0.07839754
