,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-F4-6809-01A-11R-1839-07,25.0918,45.3301,4.1697,65.2116,39.8141,0.5506207
TCGA-QG-A5YW-01A-11R-A28H-07,19.5289,53.4384,3.9431,83.4777,23.6967,0.3483944
TCGA-DM-A280-01A-12R-A16W-07,15.3524,51.3479,9.569,24.1725,4.2124,0.16568035
TCGA-F4-6570-01A-11R-1774-07,25.9407,48.8773,7.3855,48.8129,24.1195,0.39900576
TCGA-CK-5915-01A-11R-1653-07,28.4255,70.4957,12.1171,121.6521,47.4546,0.18130928
TCGA-CM-6674-01A-11R-1839-07,25.1312,56.2851,10.2672,46.7044,27.5989,0.26218639
TCGA-G4-6299-01A-11R-1774-07,30.6989,77.1924,10.9328,218.2318,20.9022,0.16713543
TCGA-AZ-6600-01A-11R-1774-07,13.4698,54.8801,8.7957,44.07,36.0691,0.49360392
TCGA-NH-A50V-01A-11R-A28H-07,26.7014,40.5955,4.0127,24.5319,21.6849,0.19228251
TCGA-AD-5900-01A-11R-1653-07,28.6971,56.0493,9.4008,73.6349,28.3818,0.11747901
TCGA-F4-6807-01A-11R-1839-07,21.0681,60.2953,4.4682,42.1709,83.3864,0.43539133
TCGA-AU-6004-01A-11R-1723-07,30.0019,43.9419,7.9283,68.3135,15.762,0.24461885
TCGA-AZ-4313-01A-01R-1410-07,9.8942,61.6201,8.7018,137.9517,5.0512,0.17746633
TCGA-G4-6323-01A-11R-1723-07,22.8036,35.7951,7.0165,43.3122,21.4864,0.03537809
TCGA-CK-6747-01A-11R-1839-07,26.0197,54.8414,9.3302,145.6072,44.3803,0.23834837
TCGA-CM-6676-01A-11R-1839-07,25.2735,52.3194,6.2301,61.8263,51.6383,0.19875511
TCGA-F4-6703-01A-11R-1839-07,23.7705,46.2098,4.9231,244.2213,38.4992,0.72420811
TCGA-DM-A0XF-01A-11R-A155-07,14.567,66.2954,10.5842,62.0202,13.9107,0.02620404
TCGA-CM-6171-01A-11R-1653-07,39.8069,48.4199,10.1378,22.1138,40.0951,0.2249938
TCGA-AD-6963-01A-11R-1928-07,25.0259,82.8025,6.3308,55.38,17.8298,0.09547959
TCGA-CM-6166-01A-11R-1653-07,27.834,96.5592,10.7254,66.9619,52.2999,0.21992642
TCGA-A6-5657-01A-01R-A32Z-07,26.9139,64.0795,7.9311,75.2722,64.2099,0.33942919
TCGA-A6-4105-01A-02R-1774-07,26.985,87.8198,10.0355,151.6286,39.7627,0.19235814
