,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-A5-A7WK,36.682,70.9603,4.5038,118.8089,10.8668,0.49550106
TCGA-AJ-A8CV,29.8466,44.9607,7.5207,49.2655,26.1784,0.18501686
TCGA-EO-A3KW,33.7982,70.6956,11.7203,98.7405,29.6753,0.41901296
TCGA-QS-A5YR,17.7457,33.4726,5.6513,39.8457,21.1837,0.42569975
TCGA-B5-A3FB,28.3263,54.5413,11.6305,131.6627,16.2877,0.0589486
TCGA-EY-A1GP,23.226,74.1513,4.3894,28.9996,83.8941,0.76440465
TCGA-AJ-A3BI,8.9913,29.1998,4.2495,2.6613,7.9397,0.33783398
TCGA-AX-A2HH,36.4794,93.6669,9.7965,43.5112,18.5441,0.14359946
TCGA-B5-A5OC,33.039,42.9252,9.4552,34.8761,62.4267,0.49652698
TCGA-AX-A3FX,20.5543,32.2008,5.0772,19.9557,64.1898,0.8049782
TCGA-PG-A915,29.8152,108.0337,6.6014,60.3112,15.8615,0.2440136
TCGA-EY-A2OO,36.2132,66.5791,8.9058,89.0676,100.5558,0.44753117
TCGA-BK-A13B,18.5798,46.8753,10.8494,117.3293,57.9127,0.53918759
TCGA-AJ-A3OL,44.6055,86.3302,12.0815,389.4634,46.9648,0.65363088
TCGA-AX-A2HD,39.4074,90.5732,22.4135,596.9827,32.07,0.91249249
TCGA-BK-A6W3,46.8834,58.115,9.3724,115.2636,34.571,0.22655243
TCGA-AJ-A3BK,17.3032,57.2248,6.8613,39.4873,13.3217,0.12897449
TCGA-SJ-A6ZI,43.8562,50.6326,5.2014,207.1607,49.4701,0.48772146
TCGA-AJ-A3EJ,20.8214,110.8356,4.6246,94.249,17.9724,0.37330331
TCGA-EY-A72D,27.3681,110.5021,10.3399,74.1535,28.3638,0.33974544
TCGA-DF-A2KU,12.2233,41.2476,5.8815,21.3232,6.0081,0.03376858
TCGA-AJ-A3EM,32.6464,109.1665,5.796,87.6356,37.8103,0.40344564
TCGA-EO-A3AY,8.7939,32.9568,7.0953,150.1867,4.0874,0.10764259
TCGA-KP-A3W3,35.6399,77.303,6.5345,12.4143,34.7376,0.3244918
TCGA-B5-A3F9,34.4585,54.2721,8.6723,63.3554,17.0599,0.17217717
TCGA-AJ-A23N,32.2648,111.6442,5.9234,26.4037,12.7248,0.14061334
TCGA-B5-A3FA,29.8881,66.5713,10.1512,44.7592,30.0311,0.1514418
TCGA-AJ-A3OJ,32.6091,56.4648,9.1654,76.0448,14.0882,0.18825535
TCGA-AX-A3GB,15.118,27.8238,4.5536,8.0681,17.0121,0.55842929
TCGA-BG-A2AD,37.8629,84.2889,17.6478,97.8567,27.9883,0.8748473
TCGA-H5-A2HR,8.4957,49.4936,7.1409,8.5458,4.228,0.10324004
TCGA-B5-A3FC,27.5225,43.5963,7.7998,26.1031,34.5584,0.40298113
TCGA-BS-A0V4,3.4092,15.4129,1.6173,16.3101,12.4347,0.71903643
TCGA-QS-A8F1,6.2561,14.16,1.2302,2.079,3.9551,0.20598507
TCGA-BK-A56F,37.0596,51.4733,8.702,43.9166,50.8242,0.20006558
TCGA-A5-A2K2,44.3075,51.3637,6.8931,20.7681,15.5211,0.1168144
TCGA-B5-A3FD,25.9625,59.8197,6.6333,18.9877,29.5836,0.3196841
TCGA-EO-A1Y7,23.205,52.7344,8.1568,73.9537,13.3477,0.14822756
TCGA-QS-A5YQ,21.6732,39.1166,5.2844,22.9964,16.9444,0.13969453
TCGA-D1-A2G0,21.027,66.1005,6.0743,182.5508,10.1742,0.12493987
TCGA-AJ-A6NU,38.0986,56.3898,6.5997,362.0344,111.0693,0.55751394
TCGA-A5-AB3J,27.8833,35.9458,6.6281,69.9628,130.4453,0.917862
TCGA-B5-A0K9,31.1201,72.0878,12.5805,184.4341,13.8449,0.17534953
TCGA-PG-A916,28.9811,44.0632,6.5875,415.7145,21.9514,0.11203589
TCGA-DI-A1BU,17.8261,79.0025,9.516,29.6735,25.4729,0.23588609
TCGA-AJ-A3TW,24.879,76.1709,6.3985,25.8839,9.9783,0.07812213
TCGA-D1-A3DA,21.0438,46.3042,11.7726,87.8575,26.5272,0.57870752
TCGA-PG-A914,48.3412,53.7543,6.5218,65.9187,21.9073,0.27083735
TCGA-AJ-A3I9,32.8864,64.45,12.6217,20.678,13.3882,0.11533282
TCGA-DF-A2KN,35.039,61.0869,12.6028,284.6231,19.938,0.23599688
TCGA-BK-A6W4,37.3321,48.4003,8.8336,148.7168,61.9021,0.695463
TCGA-B5-A1MW,30.2136,93.7886,13.6941,197.2835,34.9601,0.33697657
TCGA-AX-A0IZ,19.3083,37.349,5.4718,36.8395,77.3131,0.94552312
TCGA-DF-A2L0,5.709,18.2641,1.7798,8.8773,3.1428,0.27916553
TCGA-D1-A3DG,31.5782,98.7093,15.988,139.1388,14.7467,0.13542688
TCGA-KP-A3W4,53.3355,54.4011,8.6953,48.8347,76.5317,0.46060915
TCGA-EY-A5W2,12.551,40.8801,8.2693,9.1489,11.3392,0.19102749
TCGA-KP-A3VZ,39.009,115.832,9.3387,16.5577,15.8724,0.0707177
TCGA-AJ-A3BD,25.1556,52.7611,3.2682,38.5708,14.3657,0.25507511
TCGA-AJ-A3QS,50.3517,72.6548,5.684,63.8401,61.9306,0.36345243
TCGA-FI-A2EY,4.7395,16.3781,1.2504,1.7905,5.7303,0.39171282
TCGA-AX-A3GI,55.1203,86.8064,11.1387,107.9428,7.2925,0.17992029
TCGA-QF-A5YT,16.2897,53.1587,7.4514,10.8417,37.4729,0.32538546
TCGA-B5-A0JN,43.2542,56.9971,4.4222,12.0451,30.9719,0.23638808
TCGA-AX-A1C7,6.848,53.0641,3.4231,2.1673,1.5247,0.25755954
TCGA-AP-A3K1,21.8889,41.7163,4.2963,56.7059,66.6292,0.44409045
TCGA-AJ-A3OK,16.2099,18.265,3.2824,40.5029,123.8696,0.901813
TCGA-AX-A3G1,29.1767,52.9471,9.2579,51.1824,44.1638,0.66533672
TCGA-EY-A4KR,27.0223,61.7972,5.9187,74.0775,66.4102,0.2130193
TCGA-AP-A5FX,31.2439,79.3051,4.5293,12.1792,33.7756,0.0988081
TCGA-DF-A2KR,27.3601,49.4114,4.7741,35.5637,4.7486,0.32008307
TCGA-A5-A2K4,52.4352,78.5413,5.0418,125.0897,30.105,0.33366861
TCGA-AX-A3G9,29.1739,43.5973,10.1059,4.5971,24.5644,0.25914637
TCGA-A5-A2K7,21.6929,63.5064,8.7084,155.12,22.9537,0.16787074
TCGA-K6-A3WQ,18.7908,51.0551,4.0762,43.0602,22.095,0.44921749
TCGA-DF-A2KY,13.2206,49.4982,8.2074,54.1002,17.4921,0.12443696
TCGA-AX-A05Y,10.3889,56.1706,5.9272,334.4143,2.572,0.95495589
TCGA-AX-A2IN,23.1281,69.8932,10.5629,66.6173,96.6667,0.74307819
TCGA-AX-A3G3,23.2482,58.1163,5.3984,99.6295,11.6518,0.33336928
TCGA-EO-A3AS,38.2834,38.2419,9.5962,19.7186,7.2728,0.50633787
