"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-EI-6514-01A-11R-1736-07",21.7833,44.607,3.9379,25.2217,123.0533
"TCGA-EI-6512-01A-11R-1736-07",29.2802,55.9776,8.2813,111.3126,25.6536
"TCGA-EI-6506-01A-11R-1736-07",26.1388,54.7451,8.3788,47.7092,60.8212
"TCGA-AG-A026-01A-01R-A00A-07",9.9643,44.68,4.6903,203.1441,33.8085
"TCGA-AG-3592-01A-02R-1736-07",23.0999,64.2168,10.8498,29.1543,48.9859
"TCGA-AG-A002-01A-01R-A002-07",33.2659,69.9901,10.4057,137.0088,40.2526
"TCGA-DC-6155-01A-11R-1660-07",6.4115,22.7747,1.6657,2.3719,10.6646
"TCGA-AG-3883-01A-02R-0905-07",7.0364,41.3437,8.9634,177.028,15.6417
"TCGA-AG-3611-01A-01R-0826-07",24.8854,47.7905,4.4464,39.9051,11.891
"TCGA-DY-A1DF-01A-11R-A155-07",16.3146,22.3582,1.8822,13.2874,56.5845
"TCGA-F5-6814-01A-31R-1928-07",45.3721,89.1862,11.9819,74.7523,61.0864
"TCGA-AG-3583-01A-01R-0821-07",20.0253,53.4798,6.8516,57.9783,33.1931
"TCGA-AF-2691-01A-01R-0821-07",24.8712,56.3818,4.9539,67.0506,28.1239
"TCGA-AG-3878-01A-02R-0905-07",5.3467,32.5315,5.2151,128.6979,6.5333
"TCGA-AG-3726-01A-02R-0905-07",2.5968,37.5989,10.1963,398.7301,5.5631
"TCGA-AF-4110-01A-02R-1736-07",18.4075,45.3079,4.7216,37.2431,57.9874
"TCGA-F5-6811-01A-11R-1830-07",26.8483,55.2163,8.0911,15.2679,58.2759
"TCGA-DC-6160-01A-11R-1660-07",26.9818,86.2503,11.5164,46.4176,48.6607
"TCGA-AG-A011-01A-01R-A002-07",15.6372,38.7716,3.1561,29.4542,17.9839
"TCGA-AH-6547-01A-11R-1830-07",22.7436,30.381,5.2019,28.063,39.6854
"TCGA-AG-3881-01A-01R-0905-07",5.2615,36.7903,3.1758,506.278,10.3739
"TCGA-AG-3580-01A-01R-0821-07",25.5251,62.3708,11.0231,178.9375,30.7592
"TCGA-DY-A1DD-01A-21R-A155-07",17.8626,37.796,2.5292,13.8494,64.2547
"TCGA-AG-3898-01A-01R-1119-07",16.7163,58.5092,7.5532,70.1427,28.5904
"TCGA-AF-3913-01A-02R-1119-07",24.0904,68.27,10.6005,50.7112,36.429
"TCGA-AG-3742-01A-11R-1660-07",37.4726,71.1895,5.9871,64.3912,58.2323
"TCGA-AG-3608-01A-01R-0826-07",21.6124,49.7504,7.2595,64.5985,16.1046
"TCGA-AG-4001-01A-02R-1119-07",19.1281,102.6761,8.5805,151.7927,36.3969
"TCGA-AG-3901-01A-01R-1119-07",25.0419,60.7433,5.9575,120.198,91.7678
"TCGA-CI-6622-01A-11R-1830-07",22.3377,51.3097,11.5064,70.6015,23.4562
"TCGA-AG-3593-01A-01R-0821-07",19.1203,62.8129,6.2367,44.85,77.2605
"TCGA-AG-3894-01A-01R-1119-07",18.2813,60.2039,10.2681,128.2567,30.6444
"TCGA-DC-6156-01A-11R-1660-07",55.2615,66.4277,7.641,60.7395,119.933
"TCGA-EI-6509-01A-11R-1736-07",13.0479,51.0667,6.42,66.5944,15.8826
"TCGA-DC-6683-01A-11R-1830-07",36.4001,59.7602,10.5089,62.7214,37.374
"TCGA-AF-3400-01A-01R-0821-07",21.784,59.4582,7.7569,179.3947,21.8323
"TCGA-AH-6643-01A-11R-1830-07",23.8151,56.8525,7.565,33.3762,44.3816
"TCGA-G5-6572-01A-11R-1830-07",15.6204,66.8178,7.3532,67.1285,50.1444
"TCGA-DC-6158-01A-11R-1660-07",47.9799,75.906,9.1306,60.5497,79.3342
"TCGA-AG-3600-01A-01R-0826-07",23.5888,54.3991,7.6853,124.0222,13.267
"TCGA-AF-6136-01A-11R-1830-07",27.2231,42.8251,8.8272,30.4916,68.0127
"TCGA-AG-A01N-01A-01R-A00A-07",16.6889,64.5118,5.9748,51.1974,12.3148
"TCGA-EI-6510-01A-11R-1736-07",23.6728,41.2926,5.7463,22.193,19.0174
"TCGA-AG-3605-01A-01R-0826-07",17.878,61.7135,7.7141,92.2987,25.97
"TCGA-AG-3594-01A-02R-0821-07",34.3519,74.1079,7.1474,41.9569,26.6233
"TCGA-DC-4749-01A-01R-1736-07",22.9959,79.6076,11.8746,47.8907,30.5655
"TCGA-AG-3586-01A-02R-0821-07",18.6179,62.9193,13.4517,62.9337,27.6734
"TCGA-AG-3731-01A-11R-1736-07",32.4707,62.1411,10.6299,61.6136,86.5326
"TCGA-AG-3602-01A-02R-0826-07",23.2912,58.496,13.2524,74.9348,27.8964
"TCGA-AF-A56L-01A-31R-A39D-07",21.226,58.7996,6.6899,57.5522,18.032
"TCGA-AH-6549-01A-11R-1830-07",40.0302,65.472,6.6492,106.3465,131.4511
"TCGA-AG-A01Y-01A-41R-A083-07",29.1392,72.5438,8.941,72.001,12.9777
"TCGA-EF-5830-01A-01R-1660-07",21.4217,92.6971,7.9093,115.6739,23.003
"TCGA-CL-4957-01A-01R-1736-07",27.1709,70.6756,9.729,46.3555,50.3306
"TCGA-DC-6682-01A-11R-1830-07",33.7234,74.0566,9.9735,29.7517,38.81
"TCGA-AG-3582-01A-01R-0821-07",25.3304,48.6691,6.8597,60.5457,20.5105
"TCGA-EI-6882-01A-11R-1928-07",48.9963,73.7099,11.1488,65.0802,46.0148
"TCGA-EI-6884-01A-11R-1928-07",39.4416,63.8388,6.231,57.5484,73.5066
"TCGA-AG-3999-01A-01R-1119-07",13.1853,51.0394,4.8801,69.9994,19.3849
"TCGA-AG-3725-01A-11R-1736-07",29.8118,50.9447,4.9322,30.3801,24.6929
"TCGA-AG-3885-01A-01R-0905-07",6.35,43.6704,6.1985,203.5133,14.3259
"TCGA-AG-A032-01A-01R-A00A-07",11.9987,41.7438,3.5481,29.5627,22.7378
"TCGA-F5-6813-01A-11R-1830-07",13.6538,49.2236,4.6698,36.6872,53.6618
"TCGA-DC-6681-01A-11R-A32Z-07",25.71,53.9695,10.2552,74.1949,146.8603
"TCGA-AG-3587-01A-01R-0821-07",26.4754,76.5923,12.5534,147.1317,29.3434
"TCGA-AG-4015-01A-01R-1119-07",14.8545,52.2579,5.2226,31.0778,12.13
