,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-AG-A025-01A-01R-A00A-07,14.8011,49.666,7.1876,99.2028,31.303,0.19168813
TCGA-AG-3581-01A-01R-0821-07,20.2524,61.4724,6.5535,36.5556,27.1488,0.16138762
TCGA-AG-A036-01A-12R-A083-07,23.9154,74.4898,8.7177,75.6762,29.4387,0.11804801
TCGA-AG-A014-01A-02R-A002-07,12.4037,56.145,6.5495,175.1153,9.8618,0.07234319
TCGA-AG-3575-01A-01R-0821-07,40.4812,51.4866,15.6175,444.8683,13.7486,0.0884566
TCGA-AG-3887-01A-01R-1119-07,21.1915,69.6069,9.4261,47.9714,37.7301,0.20829575
TCGA-AG-A016-01A-01R-A002-07,16.5173,63.2684,7.5059,210.7356,18.0501,0.14975286
TCGA-AG-A02N-01A-11R-A083-07,26.2938,61.3674,9.532,200.2791,7.4119,0.03119625
TCGA-AG-3728-01A-01R-0905-07,6.0894,41.5198,3.0656,61.8962,11.3745,0.25757319
TCGA-AG-3612-01A-01R-0826-07,18.2973,66.6939,4.5842,76.731,28.1021,0.22831371
TCGA-AG-A023-01A-01R-A00A-07,13.0512,41.1389,7.3738,133.2647,42.5803,0.31305171
TCGA-AG-3599-01A-02R-0826-07,21.9783,64.6132,10.9252,172.065,17.7783,0.03014068
