,Y,X
TCGA.B0.5713,0.98756078,1
TCGA.B0.5812,0.99499369,1
TCGA.B2.3923,0.71837534,1
TCGA.B2.3924,0.9486453,1
TCGA.B2.4098,0.21028398,1
TCGA.B2.4099,0.95631193,1
TCGA.B2.4101,0.99494027,1
TCGA.B2.4102,0.96623013,1
TCGA.B2.5633,0.98827167,1
TCGA.B2.5635,0.96771282,1
TCGA.B2.5639,0.91473196,1
TCGA.B2.A4SR,0.99469747,1
TCGA.B4.5377,0.93286145,1
TCGA.B4.5378,0.98739521,1
TCGA.B4.5832,0.93557032,1
TCGA.B4.5834,0.99755785,1
TCGA.B4.5835,0.36028004,1
TCGA.B4.5836,0.98413781,1
TCGA.B4.5838,0.94030596,1
TCGA.B4.5843,0.98005976,1
TCGA.B4.5844,0.99717731,1
TCGA.B8.4143,0.96619727,1
TCGA.B8.4146,0.9341807,1
TCGA.B8.4148,0.96080434,1
TCGA.B8.4151,0.96095596,1
TCGA.B8.4153,0.99556724,1
TCGA.B8.4154,0.97082859,1
TCGA.B8.4621,0.45248844,1
TCGA.B8.5158,0.94097153,1
TCGA.B8.5159,0.95020221,1
TCGA.B8.5162,0.97688304,1
TCGA.B8.5163,0.99274056,1
TCGA.B8.5164,0.85782519,1
TCGA.B8.5165,0.98646341,1
TCGA.B8.5545,0.98976312,1
TCGA.B8.5546,0.55196901,1
TCGA.B8.5550,0.98264795,1
TCGA.B8.5551,0.75627818,1
TCGA.B8.5553,0.97315959,1
TCGA.B8.A54D,0.89943323,1
TCGA.B8.A54E,0.27127161,1
TCGA.B8.A54F,0.94916865,1
TCGA.B8.A54G,0.75362093,1
TCGA.B8.A54H,0.99084501,1
TCGA.B8.A54I,0.96038319,1
TCGA.B8.A54J,0.99126352,1
TCGA.B8.A54K,0.97778999,1
TCGA.B8.A7U6,0.98532429,1
TCGA.B8.A8YJ,0.98955735,1
TCGA.BP.4158,0.98781721,1
TCGA.BP.4159,0.99306621,1
TCGA.BP.4160,0.95874374,1
TCGA.BP.4161,0.95757632,1
TCGA.BP.4162,0.96799703,1
TCGA.BP.4163,0.93138156,1
TCGA.BP.4164,0.9404469,1
TCGA.BP.4165,0.99357982,1
TCGA.BP.4166,0.99540817,1
TCGA.BP.4167,0.95099411,1
TCGA.BP.4169,0.98690294,1
TCGA.BP.4170,0.98342443,1
TCGA.BP.4173,0.95562425,1
TCGA.BP.4174,0.91447522,1
TCGA.BP.4176,0.96854091,1
TCGA.BP.4177,0.97451654,1
TCGA.BP.4325,0.89868381,1
TCGA.BP.4326,0.99259545,1
TCGA.BP.4327,0.98791769,1
TCGA.BP.4329,0.9885171,1
TCGA.BP.4330,0.97486721,1
TCGA.BP.4331,0.97590571,1
TCGA.BP.4332,0.98654346,1
TCGA.BP.4334,0.63958271,1
TCGA.BP.4335,0.99259941,1
TCGA.BP.4337,0.95914456,1
TCGA.BP.4338,0.70234814,1
TCGA.BP.4340,0.88843463,1
TCGA.BP.4341,0.98743651,1
TCGA.BP.4342,0.97721852,1
TCGA.BP.4343,0.98130929,1
TCGA.BP.4344,0.99259994,1
TCGA.BP.4345,0.9960485,1
TCGA.BP.4346,0.88798178,1
TCGA.BP.4347,0.98800386,1
TCGA.BP.4349,0.99464306,1
TCGA.BP.4351,0.98226016,1
TCGA.BP.4352,0.10964646,1
TCGA.BP.4353,0.99183769,1
TCGA.BP.4354,0.87766113,1
TCGA.BP.4355,0.99607557,1
TCGA.BP.4756,0.31584131,1
TCGA.BP.4758,0.99329063,1
TCGA.BP.4759,0.99432128,1
TCGA.BP.4760,0.96002175,1
TCGA.BP.4761,0.36271888,1
TCGA.BP.4762,0.98029812,1
TCGA.BP.4763,0.97472967,1
TCGA.BP.4765,0.97789656,1
TCGA.BP.4766,0.97061597,1
TCGA.BP.4768,0.95154132,1
TCGA.BP.4769,0.96937226,1
TCGA.BP.4770,0.93038691,1
TCGA.BP.4771,0.97135936,1
TCGA.BP.4774,0.9846398,1
TCGA.BP.4775,0.96722044,1
TCGA.BP.4776,0.98883984,1
TCGA.BP.4777,0.94546709,1
TCGA.BP.4781,0.95224872,1
TCGA.BP.4782,0.96543026,1
TCGA.BP.4784,0.99065924,1
TCGA.BP.4787,0.90317956,1
TCGA.BP.4789,0.9936008,1
TCGA.BP.4790,0.97729541,1
TCGA.BP.4795,0.99022324,1
TCGA.BP.4797,0.93570495,1
TCGA.BP.4798,0.92501117,1
TCGA.BP.4799,0.97692532,1
TCGA.BP.4801,0.98015209,1
TCGA.BP.4803,0.98468759,1
TCGA.BP.4804,0.98564121,1
TCGA.BP.4807,0.94872985,1
TCGA.BP.4959,0.92312011,1
TCGA.BP.4960,0.98922178,1
TCGA.BP.4961,0.99092795,1
TCGA.BP.4962,0.84454577,1
TCGA.BP.4963,0.9786935,1
TCGA.BP.4964,0.97856857,1
TCGA.BP.4965,0.99142228,1
TCGA.BP.4967,0.95703758,1
TCGA.BP.4968,0.98590244,1
TCGA.BP.4969,0.9613617,1
TCGA.BP.4970,0.96845946,1
TCGA.BP.4971,0.96969514,1
TCGA.BP.4972,0.98391356,1
TCGA.BP.4973,0.97070626,1
TCGA.BP.4974,0.99482348,1
TCGA.BP.4975,0.97880449,1
TCGA.BP.4976,0.9645446,1
TCGA.BP.4977,0.9052639,1
TCGA.BP.4981,0.98580712,1
TCGA.BP.4982,0.98488874,1
TCGA.BP.4983,0.46025301,1
TCGA.BP.4985,0.97616,1
TCGA.BP.4986,0.98547958,1
TCGA.BP.4987,0.98214793,1
TCGA.BP.4988,0.96915792,1
TCGA.BP.4989,0.88417905,1
TCGA.BP.4991,0.9953072,1
TCGA.BP.4992,0.85639968,1
TCGA.BP.4993,0.99198112,1
TCGA.BP.4994,0.93719054,1
TCGA.BP.4995,0.97098435,1
TCGA.BP.4998,0.96971659,1
TCGA.BP.4999,0.99168289,1
TCGA.BP.5000,0.98474989,1
TCGA.BP.5001,0.96027077,1
TCGA.BP.5004,0.97744596,1
TCGA.BP.5006,0.9707648,1
TCGA.BP.5007,0.99079817,1
TCGA.BP.5008,0.97074991,1
TCGA.BP.5009,0.98961258,1
TCGA.BP.5010,0.98320536,1
TCGA.BP.5168,0.99107439,1
TCGA.BP.5169,0.85914974,1
TCGA.BP.5170,0.98478013,1
TCGA.BP.5173,0.98309347,1
TCGA.BP.5174,0.93953916,1
TCGA.BP.5175,0.92936136,1
TCGA.BP.5176,0.98384751,1
TCGA.BP.5177,0.99424786,1
TCGA.BP.5178,0.94340725,1
TCGA.BP.5180,0.87640447,1
TCGA.BP.5181,0.98901773,1
TCGA.BP.5182,0.9457801,1
TCGA.BP.5183,0.95930357,1
TCGA.BP.5184,0.96052564,1
TCGA.BP.5185,0.94560438,1
TCGA.BP.5186,0.95861141,1
TCGA.BP.5187,0.97388133,1
TCGA.BP.5189,0.98559308,1
TCGA.BP.5190,0.90219196,1
TCGA.BP.5191,0.86593267,1
TCGA.BP.5192,0.97854015,1
TCGA.BP.5194,0.9904114,1
TCGA.BP.5195,0.98894856,1
TCGA.BP.5196,0.96860859,1
TCGA.BP.5198,0.95543189,1
TCGA.BP.5199,0.98510774,1
TCGA.BP.5200,0.99103682,1
TCGA.BP.5201,0.96686595,1
TCGA.BP.5202,0.95675144,1
TCGA.CJ.4634,0.98224653,1
TCGA.CJ.4635,0.95169779,1
TCGA.CJ.4636,0.96195124,1
TCGA.CJ.4637,0.87619935,1
TCGA.CJ.4638,0.64062797,1
TCGA.CJ.4639,0.99467449,1
TCGA.CJ.4640,0.95429296,1
TCGA.CJ.4641,0.86313373,1
TCGA.CJ.4642,0.9419636,1
TCGA.CJ.4643,0.99092307,1
TCGA.CJ.4644,0.98268241,1
TCGA.CJ.4868,0.98234194,1
TCGA.CJ.4869,0.96954758,1
TCGA.CJ.4870,0.99125968,1
TCGA.CJ.4871,0.98216378,1
TCGA.CJ.4872,0.99306595,1
TCGA.CJ.4873,0.89095135,1
TCGA.CJ.4874,0.9865823,1
TCGA.CJ.4875,0.98720448,1
TCGA.CJ.4876,0.94514072,1
TCGA.CJ.4878,0.97778177,1
TCGA.CJ.4881,0.96717583,1
TCGA.CJ.4882,0.98156437,1
TCGA.CJ.4884,0.97162206,1
TCGA.CJ.4885,0.97744204,1
TCGA.CJ.4886,0.98873046,1
TCGA.CJ.4887,0.97436187,1
TCGA.CJ.4888,0.95480398,1
TCGA.CJ.4889,0.96018364,1
TCGA.CJ.4890,0.97534926,1
TCGA.CJ.4891,0.87747126,1
TCGA.CJ.4892,0.97556534,1
TCGA.CJ.4893,0.99086264,1
TCGA.CJ.4894,0.98026934,1
TCGA.CJ.4895,0.96329913,1
TCGA.CJ.4897,0.97387771,1
TCGA.CJ.4899,0.97743772,1
TCGA.CJ.4900,0.96485035,1
TCGA.CJ.4901,0.97659531,1
TCGA.CJ.4902,0.99596184,1
TCGA.CJ.4903,0.96956341,1
TCGA.CJ.4904,0.99367752,1
TCGA.CJ.4905,0.99667201,1
TCGA.CJ.4907,0.99462509,1
TCGA.CJ.4908,0.99650156,1
TCGA.CJ.4912,0.96052087,1
TCGA.CJ.4916,0.9748565,1
TCGA.CJ.4918,0.9945587,1
TCGA.CJ.4920,0.99089628,1
TCGA.CJ.4923,0.97392535,1
TCGA.CJ.5671,0.98939202,1
TCGA.CJ.5675,0.9359889,1
TCGA.CJ.5682,0.98061327,1
TCGA.CJ.5683,0.98148623,1
TCGA.CJ.5684,0.99158648,1
TCGA.CJ.5686,0.97324129,1
TCGA.CJ.6027,0.82377167,1
