"","Row.names","ENSG00000167196.14","sample_type","patient","project_id","fc"
"45","TCGA-A2-A0CX-01A-21R-A00Z-07","6.483","Primary Tumor","TCGA-A2-A0CX","TCGA-BRCA","1.38573961091278"
"46","TCGA-A2-A0CY-01A-12R-A034-07","4.9787","Primary Tumor","TCGA-A2-A0CY","TCGA-BRCA","1.38573961091278"
"47","TCGA-A2-A0CZ-01A-11R-A034-07","5.17","Primary Tumor","TCGA-A2-A0CZ","TCGA-BRCA","1.38573961091278"
"48","TCGA-A2-A0D0-01A-11R-A00Z-07","14.4093","Primary Tumor","TCGA-A2-A0D0","TCGA-BRCA","1.38573961091278"
"49","TCGA-A2-A0D1-01A-11R-A034-07","10.976","Primary Tumor","TCGA-A2-A0D1","TCGA-BRCA","1.38573961091278"
"50","TCGA-A2-A0D2-01A-21R-A034-07","22.3128","Primary Tumor","TCGA-A2-A0D2","TCGA-BRCA","1.38573961091278"
"51","TCGA-A2-A0D3-01A-11R-A115-07","11.5397","Primary Tumor","TCGA-A2-A0D3","TCGA-BRCA","1.38573961091278"
"52","TCGA-A2-A0D4-01A-11R-A00Z-07","5.1204","Primary Tumor","TCGA-A2-A0D4","TCGA-BRCA","1.38573961091278"
"53","TCGA-A2-A0EM-01A-11R-A034-07","10.2517","Primary Tumor","TCGA-A2-A0EM","TCGA-BRCA","1.38573961091278"
"54","TCGA-A2-A0EN-01A-13R-A084-07","5.4992","Primary Tumor","TCGA-A2-A0EN","TCGA-BRCA","1.38573961091278"
"55","TCGA-A2-A0EO-01A-11R-A034-07","6.6232","Primary Tumor","TCGA-A2-A0EO","TCGA-BRCA","1.38573961091278"
"56","TCGA-A2-A0EP-01A-52R-A22U-07","5.2036","Primary Tumor","TCGA-A2-A0EP","TCGA-BRCA","1.38573961091278"
"57","TCGA-A2-A0EQ-01A-11R-A034-07","5.8558","Primary Tumor","TCGA-A2-A0EQ","TCGA-BRCA","1.38573961091278"
"58","TCGA-A2-A0ER-01A-21R-A034-07","11.0379","Primary Tumor","TCGA-A2-A0ER","TCGA-BRCA","1.38573961091278"
"59","TCGA-A2-A0ES-01A-11R-A115-07","9.9674","Primary Tumor","TCGA-A2-A0ES","TCGA-BRCA","1.38573961091278"
"60","TCGA-A2-A0ET-01A-31R-A034-07","10.3764","Primary Tumor","TCGA-A2-A0ET","TCGA-BRCA","1.38573961091278"
"61","TCGA-A2-A0EU-01A-22R-A056-07","17.3053","Primary Tumor","TCGA-A2-A0EU","TCGA-BRCA","1.38573961091278"
"62","TCGA-A2-A0EV-01A-11R-A034-07","12.6173","Primary Tumor","TCGA-A2-A0EV","TCGA-BRCA","1.38573961091278"
"63","TCGA-A2-A0EW-01A-21R-A115-07","11.3465","Primary Tumor","TCGA-A2-A0EW","TCGA-BRCA","1.38573961091278"
"64","TCGA-A2-A0EX-01A-21R-A034-07","8.9228","Primary Tumor","TCGA-A2-A0EX","TCGA-BRCA","1.38573961091278"
"65","TCGA-A2-A0EY-01A-11R-A034-07","8.1174","Primary Tumor","TCGA-A2-A0EY","TCGA-BRCA","1.38573961091278"
"66","TCGA-A2-A0ST-01A-12R-A084-07","4.8079","Primary Tumor","TCGA-A2-A0ST","TCGA-BRCA","1.38573961091278"
"67","TCGA-A2-A0SU-01A-11R-A084-07","9.7431","Primary Tumor","TCGA-A2-A0SU","TCGA-BRCA","1.38573961091278"
"68","TCGA-A2-A0SV-01A-11R-A084-07","9.8442","Primary Tumor","TCGA-A2-A0SV","TCGA-BRCA","1.38573961091278"
"69","TCGA-A2-A0SW-01A-11R-A084-07","4.604","Primary Tumor","TCGA-A2-A0SW","TCGA-BRCA","1.38573961091278"
"70","TCGA-A2-A0SX-01A-12R-A084-07","6.8453","Primary Tumor","TCGA-A2-A0SX","TCGA-BRCA","1.38573961091278"
"71","TCGA-A2-A0SY-01A-31R-A084-07","9.1444","Primary Tumor","TCGA-A2-A0SY","TCGA-BRCA","1.38573961091278"
"72","TCGA-A2-A0T0-01A-22R-A084-07","10.7823","Primary Tumor","TCGA-A2-A0T0","TCGA-BRCA","1.38573961091278"
"73","TCGA-A2-A0T1-01A-21R-A084-07","5.9025","Primary Tumor","TCGA-A2-A0T1","TCGA-BRCA","1.38573961091278"
"74","TCGA-A2-A0T2-01A-11R-A084-07","11.8587","Primary Tumor","TCGA-A2-A0T2","TCGA-BRCA","1.38573961091278"
"75","TCGA-A2-A0T3-01A-21R-A115-07","8.8593","Primary Tumor","TCGA-A2-A0T3","TCGA-BRCA","1.38573961091278"
"76","TCGA-A2-A0T4-01A-31R-A084-07","9.5052","Primary Tumor","TCGA-A2-A0T4","TCGA-BRCA","1.38573961091278"
"77","TCGA-A2-A0T5-01A-21R-A084-07","9.125","Primary Tumor","TCGA-A2-A0T5","TCGA-BRCA","1.38573961091278"
"78","TCGA-A2-A0T6-01A-11R-A084-07","12.0586","Primary Tumor","TCGA-A2-A0T6","TCGA-BRCA","1.38573961091278"
"79","TCGA-A2-A0T7-01A-21R-A084-07","9.5541","Primary Tumor","TCGA-A2-A0T7","TCGA-BRCA","1.38573961091278"
"80","TCGA-A2-A0YC-01A-11R-A109-07","9.0323","Primary Tumor","TCGA-A2-A0YC","TCGA-BRCA","1.38573961091278"
"81","TCGA-A2-A0YD-01A-11R-A109-07","11.3412","Primary Tumor","TCGA-A2-A0YD","TCGA-BRCA","1.38573961091278"
"82","TCGA-A2-A0YE-01A-11R-A109-07","7.9104","Primary Tumor","TCGA-A2-A0YE","TCGA-BRCA","1.38573961091278"
"83","TCGA-A2-A0YF-01A-21R-A109-07","10.8415","Primary Tumor","TCGA-A2-A0YF","TCGA-BRCA","1.38573961091278"
"84","TCGA-A2-A0YG-01A-21R-A109-07","12.8634","Primary Tumor","TCGA-A2-A0YG","TCGA-BRCA","1.38573961091278"
"85","TCGA-A2-A0YH-01A-11R-A109-07","9.2948","Primary Tumor","TCGA-A2-A0YH","TCGA-BRCA","1.38573961091278"
"86","TCGA-A2-A0YI-01A-31R-A10J-07","9.3173","Primary Tumor","TCGA-A2-A0YI","TCGA-BRCA","1.38573961091278"
"87","TCGA-A2-A0YJ-01A-11R-A109-07","11.3191","Primary Tumor","TCGA-A2-A0YJ","TCGA-BRCA","1.38573961091278"
"88","TCGA-A2-A0YK-01A-22R-A109-07","9.2019","Primary Tumor","TCGA-A2-A0YK","TCGA-BRCA","1.38573961091278"
"89","TCGA-A2-A0YL-01A-21R-A109-07","12.7827","Primary Tumor","TCGA-A2-A0YL","TCGA-BRCA","1.38573961091278"
"90","TCGA-A2-A0YM-01A-11R-A109-07","9.5961","Primary Tumor","TCGA-A2-A0YM","TCGA-BRCA","1.38573961091278"
"91","TCGA-A2-A0YT-01A-11R-A109-07","15.9186","Primary Tumor","TCGA-A2-A0YT","TCGA-BRCA","1.38573961091278"
"92","TCGA-A2-A1FV-01A-11R-A13Q-07","11.7416","Primary Tumor","TCGA-A2-A1FV","TCGA-BRCA","1.38573961091278"
"93","TCGA-A2-A1FW-01A-11R-A13Q-07","11.5099","Primary Tumor","TCGA-A2-A1FW","TCGA-BRCA","1.38573961091278"
"94","TCGA-A2-A1FX-01A-11R-A13Q-07","14.9398","Primary Tumor","TCGA-A2-A1FX","TCGA-BRCA","1.38573961091278"
"95","TCGA-A2-A1FZ-01A-51R-A14D-07","11.3242","Primary Tumor","TCGA-A2-A1FZ","TCGA-BRCA","1.38573961091278"
"96","TCGA-A2-A1G0-01A-11R-A13Q-07","9.9442","Primary Tumor","TCGA-A2-A1G0","TCGA-BRCA","1.38573961091278"
"97","TCGA-A2-A1G1-01A-21R-A13Q-07","12.0797","Primary Tumor","TCGA-A2-A1G1","TCGA-BRCA","1.38573961091278"
"98","TCGA-A2-A1G4-01A-11R-A13Q-07","10.1448","Primary Tumor","TCGA-A2-A1G4","TCGA-BRCA","1.38573961091278"
"99","TCGA-A2-A1G6-01A-11R-A13Q-07","11.0205","Primary Tumor","TCGA-A2-A1G6","TCGA-BRCA","1.38573961091278"
"100","TCGA-A2-A259-01A-11R-A16F-07","13.1097","Primary Tumor","TCGA-A2-A259","TCGA-BRCA","1.38573961091278"
"101","TCGA-A2-A25A-01A-12R-A16F-07","9.8031","Primary Tumor","TCGA-A2-A25A","TCGA-BRCA","1.38573961091278"
"102","TCGA-A2-A25B-01A-11R-A169-07","21.3988","Primary Tumor","TCGA-A2-A25B","TCGA-BRCA","1.38573961091278"
"103","TCGA-A2-A25C-01A-11R-A169-07","20.3419","Primary Tumor","TCGA-A2-A25C","TCGA-BRCA","1.38573961091278"
"104","TCGA-A2-A25D-01A-12R-A16F-07","6.9186","Primary Tumor","TCGA-A2-A25D","TCGA-BRCA","1.38573961091278"
"105","TCGA-A2-A25E-01A-11R-A169-07","14.3545","Primary Tumor","TCGA-A2-A25E","TCGA-BRCA","1.38573961091278"
"106","TCGA-A2-A25F-01A-11R-A169-07","7.8785","Primary Tumor","TCGA-A2-A25F","TCGA-BRCA","1.38573961091278"
"107","TCGA-A2-A3KC-01A-11R-A213-07","9.7171","Primary Tumor","TCGA-A2-A3KC","TCGA-BRCA","1.38573961091278"
"108","TCGA-A2-A3KD-01A-12R-A213-07","8.775","Primary Tumor","TCGA-A2-A3KD","TCGA-BRCA","1.38573961091278"
"109","TCGA-A2-A3XS-01A-11R-A22U-07","10.5654","Primary Tumor","TCGA-A2-A3XS","TCGA-BRCA","1.38573961091278"
"110","TCGA-A2-A3XT-01A-11R-A22U-07","11.9418","Primary Tumor","TCGA-A2-A3XT","TCGA-BRCA","1.38573961091278"
"111","TCGA-A2-A3XU-01A-12R-A22U-07","4.4154","Primary Tumor","TCGA-A2-A3XU","TCGA-BRCA","1.38573961091278"
"112","TCGA-A2-A3XV-01A-21R-A239-07","5.375","Primary Tumor","TCGA-A2-A3XV","TCGA-BRCA","1.38573961091278"
"113","TCGA-A2-A3XW-01A-11R-A239-07","3.7913","Primary Tumor","TCGA-A2-A3XW","TCGA-BRCA","1.38573961091278"
"114","TCGA-A2-A3XX-01A-21R-A239-07","6.5321","Primary Tumor","TCGA-A2-A3XX","TCGA-BRCA","1.38573961091278"
"115","TCGA-A2-A3XY-01A-11R-A239-07","11.2988","Primary Tumor","TCGA-A2-A3XY","TCGA-BRCA","1.38573961091278"
"116","TCGA-A2-A3XZ-01A-42R-A239-07","8.457","Primary Tumor","TCGA-A2-A3XZ","TCGA-BRCA","1.38573961091278"
"117","TCGA-A2-A3Y0-01A-11R-A239-07","10.5064","Primary Tumor","TCGA-A2-A3Y0","TCGA-BRCA","1.38573961091278"
"118","TCGA-A2-A4RW-01A-21R-A266-07","8.8965","Primary Tumor","TCGA-A2-A4RW","TCGA-BRCA","1.38573961091278"
"119","TCGA-A2-A4RX-01A-11R-A266-07","12.8354","Primary Tumor","TCGA-A2-A4RX","TCGA-BRCA","1.38573961091278"
"120","TCGA-A2-A4RY-01A-31R-A266-07","10.8077","Primary Tumor","TCGA-A2-A4RY","TCGA-BRCA","1.38573961091278"
"121","TCGA-A2-A4S0-01A-21R-A266-07","11.6109","Primary Tumor","TCGA-A2-A4S0","TCGA-BRCA","1.38573961091278"
"122","TCGA-A2-A4S1-01A-21R-A266-07","3.4685","Primary Tumor","TCGA-A2-A4S1","TCGA-BRCA","1.38573961091278"
"123","TCGA-A2-A4S2-01A-12R-A266-07","9.9304","Primary Tumor","TCGA-A2-A4S2","TCGA-BRCA","1.38573961091278"
"124","TCGA-A2-A4S3-01A-21R-A266-07","7.4422","Primary Tumor","TCGA-A2-A4S3","TCGA-BRCA","1.38573961091278"
"125","TCGA-A7-A0CD-01A-11R-A00Z-07","8.7741","Primary Tumor","TCGA-A7-A0CD","TCGA-BRCA","1.38573961091278"
"126","TCGA-A7-A0CE-01A-11R-A00Z-07","11.3114","Primary Tumor","TCGA-A7-A0CE","TCGA-BRCA","1.38573961091278"
"127","TCGA-A7-A0CE-11A-21R-A089-07","9.1284","Solid Tissue Normal","TCGA-A7-A0CE","TCGA-BRCA","1.38573961091278"
"128","TCGA-A7-A0CG-01A-12R-A056-07","11.5159","Primary Tumor","TCGA-A7-A0CG","TCGA-BRCA","1.38573961091278"
"129","TCGA-A7-A0CH-01A-21R-A00Z-07","10.5968","Primary Tumor","TCGA-A7-A0CH","TCGA-BRCA","1.38573961091278"
"130","TCGA-A7-A0CH-11A-32R-A089-07","5.7358","Solid Tissue Normal","TCGA-A7-A0CH","TCGA-BRCA","1.38573961091278"
"131","TCGA-A7-A0CJ-01A-21R-A00Z-07","10.5608","Primary Tumor","TCGA-A7-A0CJ","TCGA-BRCA","1.38573961091278"
"132","TCGA-A7-A0D9-01A-31R-A056-07","61.7701","Primary Tumor","TCGA-A7-A0D9","TCGA-BRCA","1.38573961091278"
"133","TCGA-A7-A0D9-11A-53R-A089-07","3.7099","Solid Tissue Normal","TCGA-A7-A0D9","TCGA-BRCA","1.38573961091278"
"134","TCGA-A7-A0DA-01A-31R-A115-07","16.0216","Primary Tumor","TCGA-A7-A0DA","TCGA-BRCA","1.38573961091278"
"135","TCGA-A7-A0DB-01A-11R-A00Z-07","8.6012","Primary Tumor","TCGA-A7-A0DB","TCGA-BRCA","1.38573961091278"
"136","TCGA-A7-A0DB-01A-11R-A277-07","8.1145","Primary Tumor","TCGA-A7-A0DB","TCGA-BRCA","1.38573961091278"
"137","TCGA-A7-A0DB-11A-33R-A089-07","4.7522","Solid Tissue Normal","TCGA-A7-A0DB","TCGA-BRCA","1.38573961091278"
"138","TCGA-A7-A0DC-01A-11R-A00Z-07","6.353","Primary Tumor","TCGA-A7-A0DC","TCGA-BRCA","1.38573961091278"
"139","TCGA-A7-A0DC-11A-41R-A089-07","7.2095","Solid Tissue Normal","TCGA-A7-A0DC","TCGA-BRCA","1.38573961091278"
"140","TCGA-A7-A13D-01A-13R-A12P-07","5.0862","Primary Tumor","TCGA-A7-A13D","TCGA-BRCA","1.38573961091278"
"141","TCGA-A7-A13D-01A-13R-A277-07","6.9874","Primary Tumor","TCGA-A7-A13D","TCGA-BRCA","1.38573961091278"
"142","TCGA-A7-A13E-01A-11R-A12P-07","10.6574","Primary Tumor","TCGA-A7-A13E","TCGA-BRCA","1.38573961091278"
"143","TCGA-A7-A13E-01A-11R-A277-07","13.95","Primary Tumor","TCGA-A7-A13E","TCGA-BRCA","1.38573961091278"
"144","TCGA-A7-A13E-11A-61R-A12P-07","5.6031","Solid Tissue Normal","TCGA-A7-A13E","TCGA-BRCA","1.38573961091278"
"145","TCGA-A7-A13F-01A-11R-A12P-07","18.539","Primary Tumor","TCGA-A7-A13F","TCGA-BRCA","1.38573961091278"
"146","TCGA-A7-A13F-11A-42R-A12P-07","6.2204","Solid Tissue Normal","TCGA-A7-A13F","TCGA-BRCA","1.38573961091278"
"147","TCGA-A7-A13G-01A-11R-A13Q-07","5.6305","Primary Tumor","TCGA-A7-A13G","TCGA-BRCA","1.38573961091278"
"148","TCGA-A7-A13G-11A-51R-A13Q-07","3.9887","Solid Tissue Normal","TCGA-A7-A13G","TCGA-BRCA","1.38573961091278"
"149","TCGA-A7-A13H-01A-11R-A22K-07","7.9118","Primary Tumor","TCGA-A7-A13H","TCGA-BRCA","1.38573961091278"
"150","TCGA-A7-A26E-01A-11R-A169-07","11.164","Primary Tumor","TCGA-A7-A26E","TCGA-BRCA","1.38573961091278"
"151","TCGA-A7-A26E-01A-11R-A277-07","8.1317","Primary Tumor","TCGA-A7-A26E","TCGA-BRCA","1.38573961091278"
"152","TCGA-A7-A26F-01A-21R-A169-07","3.1588","Primary Tumor","TCGA-A7-A26F","TCGA-BRCA","1.38573961091278"
"153","TCGA-A7-A26G-01A-21R-A169-07","5.8394","Primary Tumor","TCGA-A7-A26G","TCGA-BRCA","1.38573961091278"
"154","TCGA-A7-A26H-01A-11R-A169-07","11.1374","Primary Tumor","TCGA-A7-A26H","TCGA-BRCA","1.38573961091278"
"155","TCGA-A7-A26I-01A-11R-A169-07","4.6853","Primary Tumor","TCGA-A7-A26I","TCGA-BRCA","1.38573961091278"
"156","TCGA-A7-A26J-01A-11R-A169-07","13.1823","Primary Tumor","TCGA-A7-A26J","TCGA-BRCA","1.38573961091278"
"157","TCGA-A7-A26J-01A-11R-A277-07","7.882","Primary Tumor","TCGA-A7-A26J","TCGA-BRCA","1.38573961091278"
"158","TCGA-A7-A2KD-01A-31R-A21T-07","11.3948","Primary Tumor","TCGA-A7-A2KD","TCGA-BRCA","1.38573961091278"
"159","TCGA-A7-A3IY-01A-21R-A21T-07","11.7165","Primary Tumor","TCGA-A7-A3IY","TCGA-BRCA","1.38573961091278"
"160","TCGA-A7-A3IZ-01A-11R-A213-07","12.2141","Primary Tumor","TCGA-A7-A3IZ","TCGA-BRCA","1.38573961091278"
